SMILES,pKa
BrC1=NNC2(CCC2)C1,2.7
BrC1=NNC2(CCCC2)C1,2.68
Brc1cc2cccnc2c2ncccc12,4.2
Brc1cccnc1,2.8699999999999997
Brc1ccncc1,3.7649999999999997
Brc1cn[nH]c1,0.64
Brc1cn[nH]c1-c1ccccc1,0.3
Brc1cnc2ccccc2c1,2.69
Brc1cncc(Br)c1,0.82
Brc1cncc2ccccc12,3.31
Brc1ncc[nH]1,3.85
C#CC(C)(C)N(C)C,7.96
C#CCN(C)C,7.45
C#CCN(CC)CC,7.97
C#CCNN,5.46
C#CCNc1nc(C)cc(C)n1,4.37
C#CCNc1ncccn1,2.85
C#CCc1c(C)nc(=N)n(C)c1C,11.5
C#CCc1c(C)nc(N)nc1C,4.49
C#CCc1c(C)nc(NC)nc1C,4.87
C#CCc1c(C)nc(O)nc1C,3.51
C#CCn1c(C)cc(C)nc1=N,10.36
C#CCn1cccnc1=N,9.99
C(=NNc1ccccn1)c1ccccn1,5.6575
C1=C(C2CCCCC2)NCC1,7.91
C1=NNC2(C1)CCC2,4.2
C1=NNC2(C1)CCCC2,4.16
C1=NNCC1,4.62
C1=Nc2cccc3cccc(c23)N1,6.35
C1=Nc2ccccc2CN1,9.17
C1=Nc2nccnc2CN1,6.36
C1=Nc2nn(Cc3ccccc3)nc2CN1,5.62
C1CCC(C2CCCN2)CC1,10.76
C1CCC(CNCCNCC2CCCC2)C1,10.34
C1CCC(CNCCNCC2CCCCC2)CC1,10.27
C1CCC(NC2CCCC2)C1,10.93
C1CCC(NC2CCCCC2)CC1,11.25
C1CCC(NCCNC2CCCC2)C1,10.36
C1CCC(NCCNC2CCCCC2)CC1,10.3
C1CCCNCC1,11.07
C1CCN(CCCN2CCCCC2)CC1,9.95
C1CCN(CCN2CCCC2)C1,9.47
C1CCN(CCN2CCCCC2)CC1,9.47
C1CCNC1,11.232625
C1CCNCC1,11.096533333333333
C1CC[C@@H]2CNCC[C@@H]2C1,11.35
C1CC[C@@H]2NCCC[C@@H]2C1,11.29
C1CC[C@@H]2NCNC[C@@H]2C1,9.31
C1CC[C@H]2CNCC[C@@H]2C1,11.32
C1CC[C@H]2NCCC[C@@H]2C1,11.29
C1CC[C@H]2NCNC[C@@H]2C1,9.37
C1CN(CCN2CCOCC2)CCO1,6.65
C1CN1,7.944
C1CN2CCN1CC2,8.504999999999999
C1CNC1,11.165
C1CNC2CNCCC2C1,10.16
C1CNC2NCCCC2C1,9.36
C1CNCCN1,9.766818181818183
C1CNCCNC1,10.25
C1CNCNC1,9.75
C1CN[C@@H]2CCCN[C@H]2C1,10.16
C1CN[C@@H]2CCNC[C@H]2C1,10.68
C1CN[C@H]2CCCN[C@H]2C1,10.31
C1COC(CNCCNC2CCCO2)C1,9.22
C1COCCN1,8.456428571428573
C=C(Br)C=CC1(C(C)C)C(=O)N(CCN2CCOCC2)C(=O)N=C1O,4.98
C=C(C)C(=O)OCCN1CCCCC1,8.35
C=C(C)CC(=O)OC(C)N1CCCCC1,8.37
C=C1CCN2CC[C@@H](O)C12,9.4
C=C=Cc1c(C)nc(NC)nc1C,4.85
C=CCN,9.49
C=CCN(CC(=O)O)CC(=O)O,2.43
C=CCN(CC=C)CC=C,8.31
C=CCN1CCCCC1,9.64
C=CCN1CCOCC1,7.02
C=CCN=c1ncccn1CCC,11.42
C=CCNCC=C,9.29
C=CCNc1ccccc1,4.17
C=CCNc1nc(C)c2nc(C)c(C)nc2n1,3.77
C=CCNc1nc(C)cc(C)n1,4.97
C=CCNc1ncccn1,3.52
C=CCOC(=N)N,9.7
C=CCOc1nc(N)nc(N)n1,3.43
C=CCc1c(C)nc(=N)n(C)c1C,11.94
C=CCc1c(C)nc(N)nc1C,5.1
C=CCc1c(C)nc(NC)nc1C,5.31
C=CCc1c(C)nc(O)nc1C,3.91
C=CCn1c(C)cc(C)nc1=N,11.11
C=CCn1cccnc1=N,10.48
C=CCn1cccnc1=NCCC,12.25
C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12,8.43
C=Cc1ccc(C)nc1,5.67
C=Cc1ccccn1,4.98
CC#CC(C)(C)N(C)C,8.91
CC#CCN(C)C,8.28
CC#Cc1c(C)nc(=N)n(C)c1C,10.92
CC#Cc1c(C)nc(N)nc1C,3.99
CC#Cc1c(C)nc(NC)nc1C,4.08
CC#Cc1c(C)nc(O)nc1C,2.67
CC(=NO)C(C)(C)C(N)C(N)C(C)(C)C(C)=NO,8.34
CC(=NO)C(C)(C)CCCCCN,9.12
CC(=NO)C(C)(C)CCCN,9.14
CC(=NO)C(C)(C)N,9.12
CC(=O)C(CN(C)C)=NO,7.05
CC(=O)C(CN1CCCCC1)=NO,7.15
CC(=O)CC1Nc2ncncc2N=C1O,4.69
CC(=O)CCCCN(C)C,9.62
CC(=O)Cc1nc2cccnc2n(C)c1=O,0.67
CC(=O)Cc1nc2nc(N)nc(O)c2n(Cc2ccccc2)c1=O,1.04
CC(=O)Cc1nc2ncccc2n(C)c1=O,1.58
CC(=O)N(N)C1CCN(C)CC1,8.7
CC(=O)N(N=C(C)C)C1CCN(C)CC1,8.6
CC(=O)N1CCN(C(C)=O)c2c(C)ncnc21,2.12
CC(=O)N1CCN(C(C)=O)c2c(N(C)C)nc(N(C)C)nc21,3.74
CC(=O)N1CCN(Cc2ccccc2)c2ncnc(C)c21,5.45
CC(=O)N1CCNC1=N,9.06
CC(=O)N1CCNCC1,7.94
CC(=O)N1CCNc2nc(N(C)C)nc(N(C)C)c21,5.84
CC(=O)N1CCNc2nc(N)nc(N)c21,5.84
CC(=O)N1CCNc2ncnc(C)c21,5.23
CC(=O)N=C(N(C)C)N(C)C,7.5
CC(=O)N=C1NCCN1,7.48
CC(=O)NC(=N)NC(C)=O,4.93
CC(=O)NC(C1=NCCS1)C(C)C,3.64
CC(=O)NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,4.13
CC(=O)NC(Cc1ccc(O)c(I)c1)C(=O)O,3.19
CC(=O)NC1=NCCCN1,8.34
CC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)NCC(=O)O,3.25
CC(=O)NCC(=O)NC(Cc1cn(Cc2ccccc2)cn1)C(=O)NCC(=O)O,3.3
CC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,3.08
CC(=O)NCC(=O)NCC(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)O,3.16
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)NCC(=O)O,3.29
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1cnc[nH]1)C(=O)O,3.08
CC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)O,2.99
CC(=O)NCCN,9.15
CC(=O)NCCc1c[nH]cn1,6.99
CC(=O)NCCc1nc(I)[nH]c1I,2.99
CC(=O)NCCc1nc[nH]c1I,4.73
CC(=O)NN,3.24
CC(=O)NN1C=C2OC(C)N=C2N(NC(C)=O)C1,1.48
CC(=O)NN=C1CCN(C)CC1,7.45
CC(=O)NNC1CCN(C)CC1,8.7
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,3.81
CC(=O)Nc1c(C)ncnc1N,4.52
CC(=O)Nc1ccc(C(O)CNC(C)C)cc1,9.5
CC(=O)Nc1cccnc1,4.37
CC(=O)Nc1ccncn1,2.71
CC(=O)Nc1nc(O)c2[nH]c(C)nc2n1,3.12
CC(=O)Nc1nc(O)c2nc(C)n(C)c2n1,3.17
CC(=O)Nc1nc2nc(C)[nH]c2c(=O)n1C,2.35
CC(=O)Nc1ncc2nccnc2n1,2.63
CC(=O)Nc1ncnc2nccnc12,1.21
CC(=O)OC(C)CN(C)C,8.32
CC(=O)OCCN(C)C,8.35
CC(=O)OCCc1c[nH]cn1,6.97
CC(=O)OCc1c[nH]cn1,6.2
CC(=O)SCCN(C)C,8.27
CC(=O)c1ccc(N)c(N)c1,3.56
CC(=O)c1ccc(N)cc1,2.29
CC(=O)c1cccc(N)c1,3.56
CC(=O)c1cccc(NCC(=O)O)c1,1.14
CC(=O)c1ccccn1,2.721666666666667
CC(=O)c1cccnc1,3.252
CC(=O)c1ccncc1,3.5100000000000002
CC(=O)c1nccnc1N=CN,5.49
CC(C#N)CN,7.75
CC(C)(C#N)N1CCCCC1,9.22
CC(C)(C)C(N)=O,-0.28
CC(C)(C)C1=NNCC1,5.31
CC(C)(C)C1NC=Nc2ccccc21,9.36
CC(C)(C)CC(C)(C)N,10.785
CC(C)(C)CC(N)=O,-0.32
CC(C)(C)CCC(N)=O,-0.44
CC(C)(C)CN,10.335
CC(C)(C)CNc1ccccc1,4.17
CC(C)(C)Cc1nccs1,3.37
CC(C)(C)N,10.718375
CC(C)(C)N1CCCC1,11.13
CC(C)(C)NC(O)c1ccc(F)c(F)c1,9.51
CC(C)(C)NC1CCCCC1,11.285
CC(C)(C)NCCCNC(C)(C)C,11.27
CC(C)(C)NCCNCCNC(C)(C)C,10.4
CC(C)(C)NCc1ccccc1,10.19
