SMILES,pKa
Nc1nc2c(c(C(=O)O)n1)CCCC2,0.61
CNc1ncc2ccccc2n1,4.97
Nc1ncccn1,3.5500000000000003
O=C(O)CN(CC(=O)O)CC1CCCCO1,1.88
Cc1cccnc1N,7.48
CC(C)(C)C1=NNCC1,5.31
Nc1ccccn1,6.665
O=NCNc1c2ccccc2nc2ccccc12,3.41
CCOC(=O)[C@@H](N)CC(C)C,7.615
Oc1cnc2cnccc2n1,3.755
Nc1nccc2ccccc12,7.48
Sc1nc2cncnc2nc1S,0.74
Nc1ccc2ccccc2c1,4.166666666666667
COc1cncnc1O,1.75
NNCc1ccccc1,6.83
CC(C)(O)[C@H](N)C(=O)O,2.14
CC(N)CCC(=O)O,3.97
Cc1nc(N)nc(N)c1Cc1ccc(Cl)cc1,7.58
COc1ccc(C2CC2N)cc1,8.32
Nc1ncc(-c2ccc([N+](=O)[O-])cc2)cn1,2.7
CN1C=CC=C(O)N1,2.31
COc1cnccc1C=O,4.45
CC(CN)c1ccccc1,10.325
COc1ccc2nc3ccccc3c(N)c2c1,9.61
COC(=O)CCCN,9.839
CN(C)c1cccc(C(F)(F)F)c1,3.27
Cn1cccnc1=NCc1ccccc1,11.12
O=C(O)CN(CCO)CC(=O)O,2.1225
Nc1ccc(CC(=O)O)cc1,3.6
CCC1=NCCN1,11.05
Nc1ncnc2[nH]nnc12,2.65
CC(C)(C)n1cccn1,1.975
Nc1cnc(Cl)nc1N,2.63
Nc1ccc2c(c1)CCC2,5.31
CCN(C)CCOCCN(CC)CC,10.12
CC(C)C(O)C(=N)N,11.35
CC(N)CC(N)=NO,9.15
CCN(CC)CCNC(=O)c1ccc(C)cc1C,8.917
CC(C)NCC(O)c1ccc(I)cc1,9.21
Fc1ccc2ncncc2c1,3.42
CNc1ncc(-c2ccc(C)cc2)cn1,3.59
C[Si](C)(C)CCN,10.97
Cn1cnc2cccc([N+](=O)[O-])c21,3.25
Nc1ccc2cc3ccc(N)cc3nc2c1,9.6
CC1=NN(C)C(C)(C)C1,4.68
Nc1c(O)nc(O)nc1NCCO,4.13
Cc1ccc(N(CC[N+]2(C)CCCCC2)C2CCCCC2)cc1,3.77
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(O)c12,3.5835
CCOC(=O)c1ccccc1N(C)C,5.48
CCN(CC)CCNC(=O)c1c(C)cccc1C,8.688
Nc1ccc2c(Cl)c3ccccc3nc2c1,6.7
OC[C@H]1NC(O)[C@H](O)[C@@H](O)[C@@H]1O,5.32
Brc1cnc2ccccc2c1,2.69
CCSc1ccncn1,2.6
COc1ccc(-c2ncccn2)cc1[N+](=O)[O-],2.4
c1nc[nH]n1,2.27
CC1=Nc2[nH]nnc2CN1,6.16
CN1CCOCC1,7.38
COC(=O)c1ccccc1N,2.34
Cc1nn(C)c(N)nc1=O,1.9
Cc1ccc(N)nn1,5.29
CC(C)(C)c1ccccc1N,4.405
CC(C)NCC(O)c1ccc2c(c1)CCCC2,9.26
CC(C)C1CC[C@H](C)C[C@H]1N,10.435
CCNCCN,10.46
CN=c1ncccn1Cc1ccccc1,11.12
CC#Cc1c(C)nc(N)nc1C,3.99
CSc1ccc(N)cc1I,3.44
Nc1nc(N)c2c(n1)NCCN2C(=O)CCl,5.7
O=C(c1ccccc1)c1cccnc1,3.18
CCOC1CNc2c([N+](=O)[O-])c(=O)nc(N)n21,2.25
Cn1cc(-c2ccc(Br)cc2)cnc1=N,10.45
Cc1cccc2cnc3ccccc3c12,4.6
Oc1nc2ccncc2nc1O,1.37
Nc1nc(O)c2[nH]c(C(F)(F)F)nc2n1,1.23
c1coc(CNc2ncnc3[nH]ncc23)c1,3.97
Nc1cc([N+](=O)[O-])cc2ccccc12,2.07
CC(=O)C(CN1CCCCC1)=NO,7.15
NNCC(F)(F)C(F)(F)C(F)(F)C(F)F,5.34
Cc1c(C)c2ccccn2c1C,6.67
CSc1nc2nc(N)ncc2[nH]1,4.35
c1ncc2[nH]cnc2n1,2.3
Nc1nc(N)c(N=Nc2ccccc2)c(N)n1,4.97
CCOC(=O)CN,7.71
OC1NC=Nc2nccnc21,4.75
CC(C)C(N)C(C)C,10.315
c1ncc2nn[nH]c2n1,2.05
Nc1c2ccccc2nc2c(O)cccc12,7.01
Cc1ccc(CN)cn1,8.765
Cc1cccc(NN)c1,5.345
NCCNCc1ccoc1,9.86
CCNc1ccnc(S)n1,3.08
COc1ccc2nc(=N)n(C)cc2c1,10.63
Oc1ncc2c(n1)NCCN2,4.31
O=[N+]([O-])c1cnc2ccncc2c1,2.295
CCOC(=O)CCCCN,10.151
Nc1ccc2c(c1)CCCC2,5.17
N#CC(N)c1ccccc1,4.4
c1ccc(C(CCN2CCCCC2)c2ccccc2)cc1,8.91
CCC(C)(S)CN,8.19
Cn1cnc2cc(Cl)ncc21,2.74
CP(C)c1cccc(O)c1,5.89
Cn1cc(-c2ccc(F)cc2)cnc1=N,10.62
COc1cccc(N)n1,4.64
N[C@@H](Cc1nc(I)[nH]c1I)C(=O)O,2.72
OCc1cccnc1,4.9
Cc1cccc2cc3cccc(N)c3nc12,3.9
CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5,8.21
CC(C)(CN)CN,10.22
C#CCN(C)C,7.45
c1ccc(-c2ccncc2)cc1,5.35
CC1=Nc2ccc(C)cc2C(O)(C(N)=O)N1,7.77
NC(N)=NCC(=O)O,2.82
CNc1ccc([N+](=O)[O-])cn1,2.74
Cc1nc(N)nc(C)c1-c1ccc([N+](=O)[O-])cc1,4.54
COc1cncc(Br)c1,2.6
Nc1nccc(S)n1,2.83
NCCC[C@H](N)C(=O)O,1.8225
Oc1ncccn1,2.15
NC(=O)[C@@H](N)Cc1ccc(O)cc1,7.48
Cn1c(=O)nc(N)c2nccnc21,2.94
FC(F)(F)c1cccc2ncncc12,3.2
CCCC(C)N(CC[N+]1(C)CCCCC1)c1ccccc1,3.42
CCCc1nc(N)nc(N)c1Cc1ccc(Cl)cc1,7.71
CCCCc1ccc(N(CC[N+]2(C)CCCCC2)C2CCCCC2)cc1,3.79
CN(C)c1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,4.5
CNc1ccncn1,6.09
