SMILES,pKa
C=CCNc1ccccc1,4.17
CC(=O)NC(Cc1cc(I)c(O)c(I)c1)C(=O)O,4.13
CC(=O)NC(Cc1ccc(O)c(I)c1)C(=O)O,3.19
CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,3.81
CC(=O)Nc1ccc(C(O)CNC(C)C)cc1,9.5
CC(=O)c1ccc(N)c(N)c1,3.56
CC(=O)c1ccc(N)cc1,2.29
CC(=O)c1cccc(N)c1,3.56
CC(=O)c1cccc(NCC(=O)O)c1,1.14
CC(C)(C)CNc1ccccc1,4.17
CC(C)(C)NC(O)c1ccc(F)c(F)c1,9.51
CC(C)(C)NCc1ccccc1,10.19
CC(C)(C)Nc1ccc(Br)cc1,5.93
CC(C)(C)Nc1ccccc1,7.0
CC(C)(C)c1cc(N)cc(C(C)(C)C)c1,4.97
CC(C)(C)c1cc(N)cc(C(C)(C)C)c1[N+](=O)[O-],2.93
CC(C)(C)c1ccc(N)cc1,4.95
CC(C)(C)c1cccc(N)c1,4.66
CC(C)(C)c1ccccc1N,4.405
CC(C)(CN)c1ccccc1,10.08
CC(C)CNc1ccccc1,4.43
CC(C)N(c1ccccc1)C(C)C,7.37
CC(C)NC(=N)Cc1ccccc1,12.07
CC(C)NCC(O)c1ccc(Br)c(Br)c1,9.29
CC(C)NCC(O)c1ccc(Br)cc1,9.26
CC(C)NCC(O)c1ccc(C#N)cc1,9.28
CC(C)NCC(O)c1ccc(C(F)(F)F)cc1,9.34
CC(C)NCC(O)c1ccc(Cl)c(Cl)c1,9.27
CC(C)NCC(O)c1ccc(Cl)cc1,9.21
CC(C)NCC(O)c1ccc(F)c(F)c1,9.36
CC(C)NCC(O)c1ccc(F)cc1,9.35
CC(C)NCC(O)c1ccc(I)cc1,9.21
CC(C)NCC(O)c1ccc(N)cc1,9.74
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,8.36
CC(C)NCC(O)c1ccc(O)cc1,9.17
CC(C)NCC(O)c1ccc(S(C)(=O)=O)cc1,9.25
CC(C)NCC(O)c1ccc(S(N)(=O)=O)cc1,9.26
CC(C)NCC(O)c1ccc([N+](=O)[O-])cc1,9.27
CC(C)NCC(O)c1cccc(Br)c1,9.37
CC(C)NCC(O)c1cccc(C#N)c1,9.33
CC(C)NCC(O)c1cccc(C(F)(F)F)c1,9.3
CC(C)NCC(O)c1cccc(Cl)c1,9.42
CC(C)NCC(O)c1cccc(F)c1,9.46
CC(C)NCC(O)c1cccc(I)c1,9.36
CC(C)NCC(O)c1cccc(N)c1,9.6
CC(C)NCC(O)c1cccc(O)c1,9.09
CC(C)NCC(O)c1cccc([N+](=O)[O-])c1,9.21
CC(C)NCC(O)c1ccccc1Br,9.4
CC(C)NCC(O)c1ccccc1C(F)(F)F,9.31
CC(C)NCC(O)c1ccccc1Cl,9.43
CC(C)NCC(O)c1ccccc1F,9.41
CC(C)NCC(O)c1ccccc1I,9.32
CC(C)NCC(O)c1ccccc1N,9.52
CC(C)NCC(O)c1ccccc1[N+](=O)[O-],9.35
CC(C)NCCc1ccccc1,10.02
CC(C)NCc1ccccc1,9.69
CC(C)Nc1cc(O)ccc1[N+](=O)[O-],-0.24
CC(C)Nc1ccc([N+](=O)[O-])cc1,1.32
CC(C)Nc1ccccc1,5.77
CC(C)Nc1ccccc1[N+](=O)[O-],0.09
CC(C)c1ccc(N)cc1,4.85
CC(C)c1cccc(N)c1,4.67
CC(C)c1ccccc1N,4.42
CC(CN)c1ccccc1,10.325
CC(Cc1ccccc1)N(C)C,9.4
CC(Cc1ccccc1)NCCC#N,7.23
CC(N)C(O)c1ccc(O)cc1,8.7
CC(N)C(O)c1ccccc1,9.44
CC(N)CCCc1ccc(O)cc1,9.4
CC(N)CCCc1ccccc1,9.99
CC(N)CCc1ccc(O)cc1,9.14
CC(N)CCc1ccccc1,9.79
