dataset,radius,n_bits,use_chirality,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
random,1,4096,True,500,,2,1,0.5,0.32179082289398975,0.4763810475236318,0.9733778929496743,0.8286347753944185,1.1878930391744684,0.859350010284865
random,1,2048,True,500,,2,1,0.5,0.32792421592457266,0.4880294668527735,0.9720600537907819,0.8410887585057992,1.210745249665728,0.8538864214677115
random,2,4096,True,500,,2,1,0.5,0.32125196092562136,0.47316457182589194,0.9737361787399638,0.8508810496489346,1.2149407858734733,0.8528720264878151
random,2,2048,True,500,,2,1,0.5,0.33506185105539676,0.4897760353481444,0.9718597119895274,0.8689857004533998,1.2274279505058887,0.8498321208731627
random,3,4096,True,500,,2,1,0.5,0.337106803773904,0.489510880965213,0.9718901728549428,0.8772876931300996,1.2363058040028674,0.8476519688540385
random,1,1024,True,500,,2,1,0.5,0.3321823535506712,0.49216347382017767,0.9715847007789064,0.8774439728008807,1.2574745329942913,0.8423901243590408
random,1,512,True,500,,2,1,0.5,0.3404492518208919,0.5008367003074765,0.9705743702238117,0.9103005131890286,1.3156324037976173,0.8274741590790416
random,3,2048,True,500,,2,1,0.5,0.35646262651772154,0.5113817940456472,0.9693222149469437,0.9253970438623081,1.312008389284229,0.8284233224139926
random,2,1024,True,500,,2,1,0.5,0.3500534569798867,0.5056829070822597,0.9700021573094417,0.9415707588590091,1.3266670175720598,0.8245679677920086
random,3,1024,True,500,,2,1,0.5,0.37988008487436803,0.5345669546749562,0.9664774002096591,1.019485180749092,1.435496836457727,0.7946051692688139
random,2,512,True,500,,2,1,0.5,0.37767866862307864,0.5353911749715894,0.966373947096746,1.022294924150841,1.4603971152674637,0.7874177679724796
random,3,512,True,500,,2,1,0.5,0.41182623458195894,0.5692048664661422,0.9619923792212465,1.1597376558469963,1.6101008238527372,0.7416007943326652
random,0,4096,True,500,,2,1,0.5,0.765389644213045,1.124551163427502,0.8516485096103487,1.196970358129719,1.6731723976121782,0.7209600325316061
random,0,1024,True,500,,2,1,0.5,0.7903399480011837,1.155478669476497,0.8433763500022509,1.2257517134111893,1.718700698000993,0.7055676423792828
random,0,2048,True,500,,2,1,0.5,0.7897347065710837,1.1552764279520398,0.8434311723620161,1.229932318108492,1.7225023838950968,0.7042636604756489
random,0,512,True,500,,2,1,0.5,0.8401113383010457,1.2342149752358538,0.8213038900195714,1.2587374780112348,1.7419690992567642,0.6975414098614126
scaffold,1,4096,True,500,,2,1,0.5,0.2978511295979249,0.4557392825700465,0.9764881122924997,1.247516411768923,1.5861365763748747,0.6439947863422408
scaffold,2,4096,True,500,,2,1,0.5,0.29354111988136056,0.44681659337179963,0.9773997545203524,1.2489545032350258,1.6126863015284105,0.6319769739229297
scaffold,1,2048,True,500,,2,1,0.5,0.3029386574593582,0.46335759374024826,0.9756954748789118,1.2601381566203678,1.6067925789555013,0.6346620121155504
scaffold,2,2048,True,500,,2,1,0.5,0.30766348396033555,0.46247426812646913,0.9757880528197413,1.269905535830555,1.6462171021529513,0.6165140859595679
scaffold,1,1024,True,500,,2,1,0.5,0.3039381434770154,0.46350357331377967,0.9756801583149952,1.283285207794728,1.6134304651860876,0.6316372518721409
scaffold,3,4096,True,500,,2,1,0.5,0.30873343150632715,0.4624467027899016,0.975790938993649,1.290101085534909,1.6779377825155477,0.6015930511777119
scaffold,2,1024,True,500,,2,1,0.5,0.3212631873534008,0.47623242925649084,0.9743260612172511,1.3197037683825477,1.6863931596692219,0.5975676711075373
scaffold,3,2048,True,500,,2,1,0.5,0.3279519466971377,0.48486468763050344,0.9733868867535809,1.336362402144484,1.7244705050222424,0.5791893336517194
scaffold,3,1024,True,500,,2,1,0.5,0.349169887331215,0.5047729871300548,0.9711565781687523,1.3689833799727331,1.710692320220393,0.5858868615417312
scaffold,1,512,True,500,,2,1,0.5,0.308999968022799,0.46875544805340347,0.975125908541553,1.3979819829473508,1.7712243885177479,0.5560619551305956
scaffold,2,512,True,500,,2,1,0.5,0.3460855466506664,0.5018217053820403,0.9714928727568372,1.4739324621577843,1.8504434897121247,0.5154631053203085
scaffold,3,512,True,500,,2,1,0.5,0.37895344830858013,0.5365743128412525,0.9674077512437427,1.5053802477076792,1.8832173022935914,0.4981475261226387
scaffold,0,4096,True,500,,2,1,0.5,0.7403399978984935,1.108625735788759,0.8608688155032322,1.516447050574038,1.9410903033311588,0.4668288050632978
scaffold,0,2048,True,500,,2,1,0.5,0.7767812905997058,1.1553421538968611,0.8488960529435113,1.5291208419372,1.9463511907469615,0.46393480809454135
scaffold,0,1024,True,500,,2,1,0.5,0.7762272917696112,1.1550321947078144,0.8489771194467352,1.5330916072088139,1.9535166785092077,0.4599804968503862
scaffold,0,512,True,500,,2,1,0.5,0.8318561576654341,1.2388722242230235,0.8262568854873271,1.5441184494267246,1.9525529596895934,0.46051317578169626
