dataset,radius,n_bits,use_chirality,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
random,1,4096,True,500,,2,1,0.5,0.32179082289398975,0.4763810475236318,0.9733778929496743,0.8286347753944185,1.1878930391744684,0.859350010284865
random,1,2048,True,500,,2,1,0.5,0.32792421592457266,0.4880294668527735,0.9720600537907819,0.8410887585057992,1.210745249665728,0.8538864214677115
random,2,4096,True,500,,2,1,0.5,0.32125196092562136,0.47316457182589194,0.9737361787399638,0.8508810496489346,1.2149407858734733,0.8528720264878151
random,2,2048,True,500,,2,1,0.5,0.33506185105539676,0.4897760353481444,0.9718597119895274,0.8689857004533998,1.2274279505058887,0.8498321208731627
random,3,4096,True,500,,2,1,0.5,0.337106803773904,0.489510880965213,0.9718901728549428,0.8772876931300996,1.2363058040028674,0.8476519688540385
random,1,1024,True,500,,2,1,0.5,0.3321823535506712,0.49216347382017767,0.9715847007789064,0.8774439728008807,1.2574745329942913,0.8423901243590408
random,1,512,True,500,,2,1,0.5,0.3404492518208919,0.5008367003074765,0.9705743702238117,0.9103005131890286,1.3156324037976173,0.8274741590790416
random,3,2048,True,500,,2,1,0.5,0.35646262651772154,0.5113817940456472,0.9693222149469437,0.9253970438623081,1.312008389284229,0.8284233224139926
random,2,1024,True,500,,2,1,0.5,0.3500534569798867,0.5056829070822597,0.9700021573094417,0.9415707588590091,1.3266670175720598,0.8245679677920086
random,3,1024,True,500,,2,1,0.5,0.37988008487436803,0.5345669546749562,0.9664774002096591,1.019485180749092,1.435496836457727,0.7946051692688139
random,2,512,True,500,,2,1,0.5,0.37767866862307864,0.5353911749715894,0.966373947096746,1.022294924150841,1.4603971152674637,0.7874177679724796
random,3,512,True,500,,2,1,0.5,0.41182623458195894,0.5692048664661422,0.9619923792212465,1.1597376558469963,1.6101008238527372,0.7416007943326652
random,0,4096,True,500,,2,1,0.5,0.765389644213045,1.124551163427502,0.8516485096103487,1.196970358129719,1.6731723976121782,0.7209600325316061
random,0,1024,True,500,,2,1,0.5,0.7903399480011837,1.155478669476497,0.8433763500022509,1.2257517134111893,1.718700698000993,0.7055676423792828
random,0,2048,True,500,,2,1,0.5,0.7897347065710837,1.1552764279520398,0.8434311723620161,1.229932318108492,1.7225023838950968,0.7042636604756489
random,0,512,True,500,,2,1,0.5,0.8401113383010457,1.2342149752358538,0.8213038900195714,1.2587374780112348,1.7419690992567642,0.6975414098614126
