dataset,radius,n_bits,use_chirality,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
scaffold,1,4096,True,500,,2,1,0.5,0.2978511295979249,0.4557392825700465,0.9764881122924997,1.247516411768923,1.5861365763748747,0.6439947863422408
scaffold,2,4096,True,500,,2,1,0.5,0.29354111988136056,0.44681659337179963,0.9773997545203524,1.2489545032350258,1.6126863015284105,0.6319769739229297
scaffold,1,2048,True,500,,2,1,0.5,0.3029386574593582,0.46335759374024826,0.9756954748789118,1.2601381566203678,1.6067925789555013,0.6346620121155504
scaffold,2,2048,True,500,,2,1,0.5,0.30766348396033555,0.46247426812646913,0.9757880528197413,1.269905535830555,1.6462171021529513,0.6165140859595679
scaffold,1,1024,True,500,,2,1,0.5,0.3039381434770154,0.46350357331377967,0.9756801583149952,1.283285207794728,1.6134304651860876,0.6316372518721409
scaffold,3,4096,True,500,,2,1,0.5,0.30873343150632715,0.4624467027899016,0.975790938993649,1.290101085534909,1.6779377825155477,0.6015930511777119
scaffold,2,1024,True,500,,2,1,0.5,0.3212631873534008,0.47623242925649084,0.9743260612172511,1.3197037683825477,1.6863931596692219,0.5975676711075373
scaffold,3,2048,True,500,,2,1,0.5,0.3279519466971377,0.48486468763050344,0.9733868867535809,1.336362402144484,1.7244705050222424,0.5791893336517194
scaffold,3,1024,True,500,,2,1,0.5,0.349169887331215,0.5047729871300548,0.9711565781687523,1.3689833799727331,1.710692320220393,0.5858868615417312
scaffold,1,512,True,500,,2,1,0.5,0.308999968022799,0.46875544805340347,0.975125908541553,1.3979819829473508,1.7712243885177479,0.5560619551305956
scaffold,2,512,True,500,,2,1,0.5,0.3460855466506664,0.5018217053820403,0.9714928727568372,1.4739324621577843,1.8504434897121247,0.5154631053203085
scaffold,3,512,True,500,,2,1,0.5,0.37895344830858013,0.5365743128412525,0.9674077512437427,1.5053802477076792,1.8832173022935914,0.4981475261226387
scaffold,0,4096,True,500,,2,1,0.5,0.7403399978984935,1.108625735788759,0.8608688155032322,1.516447050574038,1.9410903033311588,0.4668288050632978
scaffold,0,2048,True,500,,2,1,0.5,0.7767812905997058,1.1553421538968611,0.8488960529435113,1.5291208419372,1.9463511907469615,0.46393480809454135
scaffold,0,1024,True,500,,2,1,0.5,0.7762272917696112,1.1550321947078144,0.8489771194467352,1.5330916072088139,1.9535166785092077,0.4599804968503862
scaffold,0,512,True,500,,2,1,0.5,0.8318561576654341,1.2388722242230235,0.8262568854873271,1.5441184494267246,1.9525529596895934,0.46051317578169626
