dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
random,200,,2,1,0.5,0.3379390554760093,0.4947770551528124,0.9712821066630429,0.866084609681052,1.2253849443750808,0.8503316020432294
random,500,,2,1,0.5,0.33506185105539676,0.4897760353481444,0.9718597119895274,0.8689857004533998,1.2274279505058887,0.8498321208731627
random,1000,,2,1,0.5,0.3334182428489945,0.4860009277732661,0.9722918409449367,0.8692126453731721,1.2276254252800796,0.8497837974608096
random,500,,2,1,0.3,0.33499028613987913,0.4854362042695034,0.9723561962033619,0.8717586134722083,1.2372995912671776,0.8474069447125747
random,1000,,2,1,0.3,0.3341193582371058,0.48343033189230566,0.9725841782925179,0.8747931829871719,1.241759097581981,0.8463050030041999
random,200,,2,1,0.3,0.3381250019902712,0.4896132593623684,0.9718784136066764,0.8753308114346973,1.2478942997053482,0.8447825188020971
random,1000,,5,1,0.3,0.3911014400911994,0.5648280093410196,0.9625746453004954,0.8827971981793004,1.25447415601927,0.843141352101397
random,500,,5,1,0.3,0.3929375051631809,0.567450172746372,0.9622263510010365,0.8833613497848316,1.2540789367860876,0.8432401724537795
random,1000,,5,1,0.5,0.38531382589601787,0.5621587570670386,0.9629275373817551,0.8852357761960343,1.2456949734118126,0.8453291565484398
random,200,,5,1,0.5,0.38917428628352263,0.5679306779925879,0.9621623520030812,0.8872116616327633,1.2509270017917447,0.8440271657656732
random,500,,5,1,0.5,0.3868942178720839,0.564566701345033,0.9626092656879571,0.8873068870732317,1.2502335671150873,0.8442000407520365
random,200,,5,1,0.3,0.39578757935921066,0.5714451700168656,0.9616926060507097,0.8924902363432493,1.2657480451676213,0.8403093235779964
random,1000,,10,1,0.5,0.483793021191656,0.6843230929221101,0.9450641476802366,0.9110195148383972,1.2690584773430311,0.8394729225840869
random,200,30.0,2,1,0.5,0.4603801945802983,0.6389112920140175,0.9521133338133446,0.9133762970118877,1.2638588858092408,0.8407856521866625
random,1000,30.0,2,1,0.5,0.4552701146869527,0.63075758264533,0.9533277825177195,0.9136399779747801,1.2637817912473461,0.8408050755355184
random,500,30.0,2,1,0.3,0.46382726260494606,0.6373152496764675,0.9523522830542801,0.9137215223906231,1.2672699323425274,0.8399250807596164
random,200,30.0,2,1,0.3,0.46506263803304587,0.6390948448850369,0.9520858151334471,0.9141974767096814,1.2734414256826223,0.8383621828022989
random,200,,10,1,0.5,0.4849344270332304,0.6869919699873225,0.9446348097172896,0.9145781186815433,1.2684447210967393,0.8396281568360342
random,500,30.0,2,1,0.5,0.45716492419369653,0.6333119117363827,0.9529490075450225,0.9150876207469951,1.264525591750975,0.8406176316100249
random,500,,10,1,0.5,0.48451703825195,0.6857911974460016,0.9448281828659459,0.9158044090449615,1.272421325064185,0.8386210416582943
random,1000,30.0,2,1,0.3,0.4650815524332727,0.6395363612604456,0.9520195895808717,0.9161685718888604,1.2676106206773539,0.8398390012482551
random,1000,,10,1,0.3,0.490793989236029,0.6864848799454356,0.9447165130743064,0.919335123533114,1.282555629803411,0.8360401725668667
random,1000,30.0,5,1,0.5,0.49571902401651285,0.6885718198871305,0.944379874380649,0.9203758979928699,1.277898008843088,0.8372288556689156
random,500,,10,1,0.3,0.4908378355060677,0.6870912524695927,0.9446188060638128,0.9220339496237329,1.282335789965265,0.8360963756849256
random,500,30.0,5,1,0.5,0.49825566181762837,0.6924443836697324,0.9437524941507472,0.9236696438644716,1.2833529477739087,0.8358362535348027
random,200,30.0,5,1,0.5,0.5012129771074817,0.6983214536413003,0.9427936492766785,0.9286717476403484,1.288722592829507,0.8344596327317357
random,500,30.0,5,1,0.3,0.5102088946099987,0.7024374604313351,0.9421172970054588,0.9287366175450404,1.2904854458231936,0.8340064352363752
random,1000,30.0,5,1,0.3,0.5095235032858308,0.7014460475894521,0.9422805717780814,0.9296746351629177,1.2893511713546102,0.8342981076725977
random,200,,10,1,0.3,0.49392832018451516,0.6925876984872019,0.9437292087131735,0.9324296462832258,1.3008282743320898,0.8313350018568784
random,200,30.0,5,1,0.3,0.5123735397693104,0.7049752056930954,0.9416983076824719,0.9338074092714262,1.3025442874996593,0.8308897128545303
random,1000,,5,3,0.5,0.6316004106005835,0.9035532254220733,0.9042274708401442,0.9391894669240314,1.30166363618756,0.8311183067730483
random,1000,,2,3,0.5,0.6316004106005835,0.9035532254220733,0.9042274708401442,0.9391894669240317,1.3016636361875602,0.8311183067730483
random,500,,5,3,0.5,0.631725759645579,0.9043432527104076,0.904059919029041,0.9416266030699343,1.307628207073918,0.8295670385694455
random,500,,2,3,0.5,0.631725759645579,0.9043432527104076,0.904059919029041,0.9416266030699343,1.3076282070739182,0.8295670385694454
random,200,30.0,10,1,0.5,0.581619105378472,0.7941949773444734,0.9260074920790777,0.9440619491562119,1.3019639605456936,0.8310403678404799
random,500,30.0,10,1,0.5,0.5804923444407,0.7921206818986412,0.9263934977637547,0.9453239591357259,1.3004005112050816,0.8314459108919856
random,200,,2,3,0.5,0.6356215879671153,0.9090044569938311,0.9030683734093347,0.945918980029336,1.3104542514288904,0.8288295635321014
random,200,,5,3,0.5,0.6356215879671153,0.9090044569938311,0.9030683734093347,0.945918980029336,1.3104542514288904,0.8288295635321014
random,1000,30.0,10,1,0.5,0.5791477126932715,0.7903372083252812,0.9267245772830742,0.9461362482234082,1.3004183223153998,0.8314412936129099
random,1000,30.0,10,1,0.3,0.5897094555626826,0.7987143895041535,0.9251629787837037,0.956979179527987,1.3113659389832608,0.8285913129559025
random,500,30.0,10,1,0.3,0.5872173545085951,0.7948430524313781,0.9258866848026948,0.9575020980892762,1.3150288576044844,0.8276324151846354
random,1000,30.0,2,3,0.5,0.668835151686567,0.9454352929815106,0.8951430801680187,0.9575117860671777,1.3186639021649245,0.8266781702160835
random,1000,30.0,5,3,0.5,0.668835151686567,0.9454352929815106,0.8951430801680187,0.9575117860671777,1.3186639021649245,0.8266781702160835
random,200,30.0,10,1,0.3,0.5893220000708735,0.7979150634524571,0.925312692496089,0.9603020083127404,1.3170016606865902,0.8271148563954458
random,500,30.0,2,3,0.5,0.6711937605936444,0.9477175949365648,0.8946362152117814,0.9608337325710031,1.3251322058971071,0.8249736451442791
random,500,30.0,5,3,0.5,0.6711937605936446,0.947717594936565,0.8946362152117814,0.9608337325710031,1.3251322058971071,0.8249736451442791
random,500,,2,3,0.3,0.6726637049804132,0.9494544429040696,0.8942496684894252,0.9620347678830319,1.3304130456234629,0.8235758558076448
random,500,,5,3,0.3,0.6726637049804132,0.9494544429040697,0.8942496684894252,0.9620347678830319,1.3304130456234629,0.8235758558076448
random,200,30.0,5,3,0.5,0.6758194952684419,0.9535543232533006,0.8933344064577601,0.9642851012300259,1.3250143287818523,0.8250047826927744
random,200,30.0,2,3,0.5,0.6758194952684419,0.9535543232533006,0.8933344064577601,0.9642851012300261,1.3250143287818523,0.8250047826927744
random,1000,,2,3,0.3,0.6737979611865671,0.9507263193160242,0.8939661552754685,0.9658471502051483,1.3347859548745893,0.8224141794885835
random,1000,,5,3,0.3,0.6737979611865671,0.9507263193160242,0.8939661552754685,0.9658471502051483,1.3347859548745893,0.8224141794885835
random,1000,,10,3,0.5,0.6848818488526531,0.9686788976127286,0.8899238698506013,0.9666461427166766,1.3290463980236473,0.8239381279543398
random,200,,10,3,0.5,0.6883415711633291,0.974940099883097,0.888496283638826,0.9677506737440237,1.326226419592501,0.8246844735357062
random,200,,5,3,0.3,0.6762608293786886,0.953131746250589,0.8934289253291535,0.96966260126211,1.3383160084711132,0.8214736295616664
random,200,,2,3,0.3,0.6762608293786886,0.953131746250589,0.8934289253291535,0.9696626012621102,1.3383160084711132,0.8214736295616664
