dataset,n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,train_mae,train_rmse,train_r2,val_mae,val_rmse,val_r2
scaffold,1000,,5,1,0.5,0.3588826966176583,0.5358930567182034,0.9674904595403075,1.263245466326077,1.6370400333971566,0.6207777608348481
scaffold,500,30.0,2,1,0.5,0.40370088235600565,0.5759999532079757,0.9624422586698614,1.2640764124610377,1.6369610681269022,0.6208143447469814
scaffold,1000,30.0,2,1,0.5,0.40145457177724825,0.5724746648145673,0.9629005805837816,1.2646324600382883,1.639663451443348,0.6195613512242939
scaffold,500,,5,1,0.5,0.3599984040510079,0.5368289280126304,0.9673768125659079,1.264737108578922,1.634350007624148,0.6220230320984483
scaffold,500,,2,1,0.5,0.30766348396033555,0.46247426812646913,0.9757880528197413,1.269905535830555,1.6462171021529513,0.6165140859595679
scaffold,1000,,2,1,0.5,0.30687901081229324,0.4615827534702404,0.9758813099031558,1.2714922557793862,1.6472739372216842,0.616021548914921
scaffold,1000,30.0,5,1,0.5,0.44148487032538347,0.6306891960618883,0.9549717205087205,1.2717124012640142,1.646892858153647,0.6161991869160952
scaffold,200,30.0,5,1,0.3,0.460836897882298,0.6499034142439565,0.9521863159661135,1.2733544314455754,1.6400166407682504,0.6193974379029841
scaffold,500,30.0,5,1,0.5,0.44187894416920626,0.6316929696483455,0.9548282769061278,1.2745794234286854,1.6475410150296157,0.6158970275050406
scaffold,200,30.0,2,1,0.5,0.40767803131015656,0.5801200065316714,0.961903045729344,1.2760124069798076,1.6469451349255726,0.6161748208064101
scaffold,200,,5,1,0.5,0.36168165041310035,0.540252475491775,0.966959386607445,1.2774030885445578,1.6492048138083528,0.6151208492625807
scaffold,500,30.0,10,1,0.5,0.5301245889908729,0.741471285798226,0.937763774650747,1.279377618539038,1.6538636255285057,0.6129433002962594
scaffold,200,,2,1,0.5,0.3092189091796076,0.4649760163259243,0.9755253959253866,1.2796689035150703,1.6753809030153375,0.6028063290812073
scaffold,200,30.0,5,1,0.5,0.4438006204296092,0.6350667833754114,0.9543444723790571,1.279884058001113,1.6558247717241248,0.6120248148581515
scaffold,1000,,10,1,0.5,0.4556950655037394,0.6581271533748885,0.9509686118084723,1.2808053809691617,1.6537981174299676,0.6129739616469064
scaffold,1000,,2,1,0.3,0.30912159353073154,0.45966028677233733,0.976081797548649,1.2810522285630426,1.645697517821096,0.616756121870485
scaffold,1000,30.0,2,1,0.3,0.41346448068446007,0.5835489854969641,0.9614513470163257,1.2811050202691598,1.6436659451500943,0.6177017479130309
scaffold,1000,30.0,10,1,0.5,0.5279579301777583,0.7393915126831437,0.9381124211856247,1.2811391041803948,1.6513033639475974,0.6141407380419535
scaffold,500,30.0,2,1,0.3,0.41522863209322397,0.5865939665728942,0.9610480007052846,1.2826199139097154,1.6413865515591493,0.6187613354344418
scaffold,1000,30.0,5,1,0.3,0.4583661427842303,0.6474230567791792,0.9525505815368316,1.283337204716749,1.6409511247339634,0.6189635784987071
scaffold,500,,10,1,0.5,0.45696956060075117,0.6594350662320743,0.9507735355072613,1.2839930651917726,1.655920910524522,0.6119797611153375
scaffold,500,,2,1,0.3,0.31008513839898455,0.46118291004528056,0.9759230771601926,1.28436976854484,1.652595608347863,0.6135365854879216
scaffold,500,30.0,5,1,0.3,0.4590658265310549,0.6483363526931122,0.9524166168120763,1.2860725083953202,1.642980837912475,0.6180203780031478
scaffold,1000,,5,1,0.3,0.36349546566418073,0.5370393756772279,0.9673512296699411,1.2861591797981413,1.6435433706391571,0.6177587646981674
scaffold,200,,5,1,0.3,0.3666052541406474,0.5410902729537831,0.9668568315734756,1.286594339324069,1.648266691618886,0.6155585886822993
scaffold,1000,20.0,2,1,0.5,0.5507296501578367,0.7718694521921723,0.9325561619051513,1.2870194149602108,1.6617892203680622,0.6092247289525288
scaffold,1000,20.0,5,1,0.5,0.5825852463407921,0.8112550670815516,0.9254977455006184,1.289400560844024,1.6612576164904285,0.6094747058080111
scaffold,200,,10,1,0.5,0.45885370214658755,0.6631462298478639,0.9502179037645895,1.2903693411153712,1.6716485650327675,0.6045740581293906
scaffold,500,,5,1,0.3,0.364297784215471,0.5384747167941651,0.967176476202619,1.2914672179847815,1.6482395817134714,0.6155712347967197
scaffold,200,30.0,10,1,0.5,0.5339715429622867,0.7479707172978763,0.9366679185287601,1.2917431268787003,1.6730023949714563,0.6039333059169447
scaffold,200,30.0,2,1,0.3,0.4173352893403362,0.5909798174125442,0.9604633498945828,1.2920633980579768,1.655407820414782,0.6122201814175237
scaffold,200,30.0,10,1,0.3,0.544551522869205,0.754503878229623,0.9355567368706005,1.2924329376111003,1.6526395608165039,0.6135160284358495
scaffold,500,20.0,2,1,0.5,0.551548503753503,0.7730016923162176,0.9323581527034496,1.2935988020132916,1.6706919676672474,0.6050264919626035
scaffold,500,,2,3,0.5,0.5976214853431269,0.8724045696801378,0.9138430267025193,1.2955810429007113,1.691597863790131,0.5950797893547991
scaffold,500,,5,3,0.5,0.5976214853431269,0.8724045696801378,0.9138430267025193,1.2955810429007115,1.691597863790131,0.5950797893547991
scaffold,200,,2,1,0.3,0.3114786725516635,0.46299648070490385,0.9757333430867455,1.2957323620118488,1.6646608543029846,0.6078730134813004
scaffold,1000,,10,1,0.3,0.46234060379014247,0.6606034324225218,0.9505989451921422,1.2960193126856983,1.658946751065381,0.6105604178864049
scaffold,500,30.0,10,1,0.3,0.5414537887444523,0.7510557123903836,0.9361444165376795,1.296910193482206,1.6587494158211538,0.6106530617090642
scaffold,1000,,5,3,0.5,0.5960028396203059,0.8696460291716958,0.9143870214435539,1.297729905854604,1.6936676974203693,0.5940882650139265
scaffold,1000,,2,3,0.5,0.5960028396203059,0.8696460291716958,0.9143870214435539,1.297729905854604,1.6936676974203695,0.5940882650139264
scaffold,500,,10,1,0.3,0.46236358493958424,0.6602090925451987,0.9506579064100573,1.2977985487592096,1.6584436014020754,0.6107966119411528
scaffold,500,20.0,5,1,0.5,0.5857185482697813,0.8157273442452404,0.9246740510524732,1.298174427470428,1.6720613786420586,0.6043787331437445
scaffold,500,20.0,2,1,0.3,0.5758781609784596,0.7999101694573728,0.927566911026804,1.29864171691845,1.6555634002531596,0.6121472887372044
scaffold,200,20.0,2,1,0.5,0.5538319571637962,0.7762938878753605,0.9317807557648086,1.2988921413442716,1.6758411154965334,0.6025880878557457
scaffold,1000,30.0,10,1,0.3,0.5409122150872427,0.7507885316487211,0.9361898404582447,1.2990872956826671,1.6586278912913988,0.6107101088675022
scaffold,1000,30.0,2,3,0.5,0.6238737452811386,0.9013570417359738,0.9080295562052915,1.29965864245906,1.694179880763788,0.5938427237360717
scaffold,1000,30.0,5,3,0.5,0.6238737452811386,0.9013570417359736,0.9080295562052915,1.29965864245906,1.694179880763788,0.5938427237360717
scaffold,1000,20.0,10,1,0.5,0.6501423674384701,0.8946663276257323,0.9093898697635042,1.3006779363441652,1.6702904603559294,0.6052163123465699
scaffold,200,30.0,5,3,0.5,0.6264462437273798,0.9060268959775922,0.9070741054371602,1.3014776316116812,1.7121005579148072,0.5852047870899146
scaffold,200,30.0,2,3,0.5,0.6264462437273798,0.9060268959775922,0.9070741054371602,1.3014776316116814,1.7121005579148074,0.5852047870899146
scaffold,200,,2,3,0.5,0.6025221948991301,0.8786369777415374,0.9126076286803828,1.303222160617229,1.7091088436339552,0.5866531419112899
scaffold,200,,5,3,0.5,0.6025221948991302,0.8786369777415373,0.9126076286803828,1.303222160617229,1.7091088436339552,0.5866531419112899
scaffold,200,20.0,10,1,0.5,0.6545294240236849,0.9019539130827883,0.907907711707569,1.303595114609069,1.6848850115551928,0.598287142916943
scaffold,500,30.0,5,3,0.5,0.6248005409213466,0.9030041942501993,0.9076931129145852,1.3042816905399588,1.702862982863097,0.5896687363479406
scaffold,500,30.0,2,3,0.5,0.6248005409213466,0.9030041942501993,0.9076931129145852,1.3042816905399588,1.7028629828630972,0.5896687363479405
scaffold,1000,,2,3,0.3,0.6359511202389643,0.9116987538806881,0.9059070049569599,1.3043823496792006,1.6934382141953448,0.5941982554488794
